,city,pop_2018_est
1086,Forbestown,221
1087,Forest Ranch,538
1088,Fort Bidwell,181
1089,Fort Irwin,9086
1090,Fort Washington,783
1091,Franklin (Merced County),7314
1092,Franklin (Sacramento County),117
1093,Freeport,81
1094,French Valley,33818
1095,Fruitridge Pocket,6215
1096,Fuller Acres,841
1097,Fulton,566
1098,Garberville,1126
1099,Garden Farms,345
1100,Garey,160
1101,Garnet,5057
1102,Gasquet,620
1103,Tiburon,9151
1104,Prunedale,19584
1105,Grover Beach,13538
1106,Hornbrook,215
1107,Tennant,18
1108,Yuba City,66388
1109,Los Altos Hills,8517
1110,Monte Sereno,3492
1111,Saratoga,30886
1112,Sunnyvale,152323
1113,Cotati,7470
1114,Forestville,3685
1115,Graton,1877
1116,Occidental,833
1117,Corning,7535
1118,Gridley,6585
1119,Tehama,445
1120,Casa de Oro-Mount Helix,19635
1121,San Diego,1401932
1122,Bradley,107
1123,King City,13834
1124,Salinas,156550
1125,Fairfield,114101
1126,Alpine Village,155
1127,Kirkwood,76
1128,San Luis Obispo,47160
1129,Edgewood,40
1130,Gazelle,46
1131,Los Gatos,30922
1132,Loyola,3364
1133,Stanford,15668
1134,Alpine,15233
1135,Camp Pendleton North,7903
1136,Dorris,868
1137,Cambria,5725
1138,Pismo Beach,8116
1139,Tulelake,838
1140,Palo Alto,67019
1141,Shafter,18923
1142,Valley Acres,617
1143,Martinez,38117
1144,Mountain View,2066
1145,Pittsburg,70492
1146,Walnut Creek,69007
1147,China Lake Acres,1947
1148,Half Moon Bay,12706
1149,Los Banos,38119
1150,Atherton,7185
1151,Daly City,106638
1152,Coulterville,38
1153,Avila Beach,1273
1154,University of California-Davis,7379
1155,Westmorland,2643
1156,Clayton,11967
1157,Concord,128758
1158,Danville,44417
1159,Discovery Bay,15981
1160,Pacheco,4355
1161,San Ramon,75384
1162,Amador City,167
1163,Sutter Creek,2538
1164,Clio,65
1165,C-Road,97
1166,East Shore,169
1167,Greenhorn,254
1168,Anderson,10265
1169,Redding,91327
1170,Diamond Springs,11989
1171,Placerville,10860
1172,Pollock Pines,6905
1173,Jackson,4694
1174,Plymouth,894
1175,Bishop,3765
1176,Darwin,56
1177,Lone Pine,1837
1178,Mesa,317
1179,Caribou,0
1180,Chester,2116
1181,Hamilton Branch,612
1182,Lake Davis,65
1183,Spring Garden,13
1184,Whitehawk,66
1185,Manteca,77073
1186,Ripon,15367
1187,Taft Mosswood,951
1188,Raisin City,389
1189,San Jose,1026658
1190,San Martin,7010
1191,San Francisco,870044
1192,Santa Clara,126209
1193,Bonita,13324
1194,Harbison Canyon,4223
1195,Denair,5131
1196,Oakdale,22599
1197,Los Angeles,3959657
1198,Palos Verdes Estates,13523
1199,Rolling Hills Estates,8187
1200,Stanton,38509
1201,Richgrove,2611
1202,Laguna Beach,23147
1203,Placentia,52049
1204,Fairhaven,145
1205,Fort Dick,830
1206,Hoopa,3573
1207,Little Valley,18
1208,Pala,1143
1209,Westside,182
1210,Madison,563
1211,Mad River,432
1212,Manchester,199
1213,Manila,834
1214,Marin City,3173
1215,Martell,300
1216,Matheny,1134
1217,Mather,4408
1218,March ARB,1150
1219,Maxwell,1096
1220,Mayfair,5091
1221,Meadowbrook,3033
1222,Willows,6022
1223,Rosemead,54417
1224,South San Gabriel,8643
1225,Aptos,5797
1226,Boulder Creek,4712
1227,Auburn,13946
